is_page_list,name,parent_category_id,unique_id,url
True,ciranova,afe60c7e-1847-4eed-9443-2f5ea4e42c15,47addf95-bb2e-499c-864a-2f5fafc2c39f,https://boutique-parquet.com/marques/ciranova
True,clean green,afe60c7e-1847-4eed-9443-2f5ea4e42c15,9a6022dc-921a-4082-9f06-75645e5e975f,https://boutique-parquet.com/marques/clean-green
True,emfi,afe60c7e-1847-4eed-9443-2f5ea4e42c15,fd6044f8-7477-4bdc-a077-ff5b34fefb68,https://boutique-parquet.com/marques/emfi
True,fiberdeck,afe60c7e-1847-4eed-9443-2f5ea4e42c15,ffd16f3a-12df-42f8-b9d4-7980f682310b,https://boutique-parquet.com/marques/fiberdeck
True,garden lights,afe60c7e-1847-4eed-9443-2f5ea4e42c15,b53b7f66-9221-414f-8802-9e69e56ca44e,https://boutique-parquet.com/marques/garden-lights-luminaires-exterieurs-12-v
True,hapax,afe60c7e-1847-4eed-9443-2f5ea4e42c15,77f29f1a-a327-4302-8a97-d55e42137ed3,https://boutique-parquet.com/marques/hapax
True,haro,afe60c7e-1847-4eed-9443-2f5ea4e42c15,57468723-0e37-4fbe-9c32-5bfc445657e6,https://boutique-parquet.com/marques/haro
True,inoxmare,afe60c7e-1847-4eed-9443-2f5ea4e42c15,316d68f4-a17e-4daa-a033-91409b6105aa,https://boutique-parquet.com/marques/inoxmare
True,jouplast,afe60c7e-1847-4eed-9443-2f5ea4e42c15,cccc72f3-8394-4294-8612-47dbf3b300c8,https://boutique-parquet.com/marques/jouplast
True,lamett,afe60c7e-1847-4eed-9443-2f5ea4e42c15,b1adb763-f8a9-460a-9372-80587a91f5d7,https://boutique-parquet.com/marques/lamett
True,l'outil parfait,afe60c7e-1847-4eed-9443-2f5ea4e42c15,870932f9-3235-4a7c-9b01-3e12c3abc23b,https://boutique-parquet.com/marques/l-outil-parfait
True,objectflor,afe60c7e-1847-4eed-9443-2f5ea4e42c15,1e6d83e7-057c-45f5-aed0-21baa642eb91,https://boutique-parquet.com/marques/objectflor-expona-design-simplay-acoustic-clic-19db
True,quick step,afe60c7e-1847-4eed-9443-2f5ea4e42c15,6a9fcaeb-9da2-406e-8571-36360dccd973,https://boutique-parquet.com/marques/quick-step
True,rubio,afe60c7e-1847-4eed-9443-2f5ea4e42c15,ed4f71c4-9389-4363-b640-a8e48ef203ff,https://boutique-parquet.com/marques/rubio-monocoat
True,sogal,afe60c7e-1847-4eed-9443-2f5ea4e42c15,f212b9ee-2a2a-4206-aefb-4f4429967ce5,https://boutique-parquet.com/marques/sogal
True,solidfloor,afe60c7e-1847-4eed-9443-2f5ea4e42c15,c93498f7-b61c-4118-a73c-0d87b1549169,https://boutique-parquet.com/marques/solidfloor
True,spax,afe60c7e-1847-4eed-9443-2f5ea4e42c15,ffbb657a-a975-4d53-87dc-180d478724d3,https://boutique-parquet.com/marques/spax
False,accessoires,ROOT_CATEGORY,1fe39fe9-0568-46d5-8a69-794994705220,https://boutique-parquet.com/accessoires
True,accessoires luminaires,1fe39fe9-0568-46d5-8a69-794994705220,139ea543-4f11-4fe5-8428-918358f103d0,https://boutique-parquet.com/accessoires/accessoires-luminaires
True,accessoires terrasses,1fe39fe9-0568-46d5-8a69-794994705220,674a5a64-45d8-41a0-875d-1896221f3095,https://boutique-parquet.com/accessoires/accessoires-terrasses
True,barres de seuil,1fe39fe9-0568-46d5-8a69-794994705220,d5d76dcc-fa36-4dc2-8b62-15d6f73903bf,https://boutique-parquet.com/accessoires/barres-de-seuil
True,brosses & spalters,1fe39fe9-0568-46d5-8a69-794994705220,0053368b-12fe-4d9a-95a1-e0cc0b8cd16d,https://boutique-parquet.com/accessoires/brosses-spalters
True,colles & mastics,1fe39fe9-0568-46d5-8a69-794994705220,ddb574e1-11ea-4163-bcda-7d814b80771d,https://boutique-parquet.com/accessoires/colles-mastics
True,contre-plinthes,1fe39fe9-0568-46d5-8a69-794994705220,3c7d0d9a-a703-4c5a-b055-cd075c7abd31,https://boutique-parquet.com/accessoires/contres-plinthes
