name,parent_category_id,promotional_price,regular_price,stock_keeping_unit,url
sol stratifié - muse - pierre bleue crépusculaire,CATEGORY_sols-stratifies_dalles-stratifies-imitation-pierre,35.95 €,39.95 €,B-MUS5485,https://boutique-parquet.com/sol-stratifie-muse-pierre-bleue-crepusculaire.html
parquet stratifié - tritty 100 - chêne portland nature,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-533123,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-portland-nature.html
crh3176 - quick step - stratifié - creo - chêne louisiane nature,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3176,https://boutique-parquet.com/cr3176-quick-step-stratifie-creo-chene-louisiane-nature.html
crh3175 - quick step - stratifié - creo -chêne louisiane beige,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3175,https://boutique-parquet.com/cr3175-quick-step-stratifie-creo-chene-louisiane-beige.html
crh3177 - quick step - stratifié - creo - chêne charlotte brun,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3177,https://boutique-parquet.com/cr3177-quick-step-stratifie-creo-chene-charlotte-brun.html
clm1487  - quick step - stratifié  - classic -  chêne minuit naturel,CATEGORY_sols-stratifies_lames-parquets-classiques,18.95 €,21.46 €,B-CLM1487,https://boutique-parquet.com/clm1487-quick-step-stratifie-classic-chene-minuit-naturel.html
clm1655 - quick step - stratifié - classic - chêne havanna naturel,CATEGORY_sols-stratifies_lames-parquets-classiques,19.30 €,21.46 €,B-CLM1655,https://boutique-parquet.com/clm1655-quick-step-stratifie-classic-chene-havanna-naturel.html
crh3180 - quick step - stratifié - creo - chêne tennessee nature,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3180,https://boutique-parquet.com/cr3180-quick-step-stratifie-creo-chene-tennessee-nature.html
clm1656  - stratifié quick step classic  - chêne havanna naturel aspect raboté,CATEGORY_sols-stratifies_lames-parquets-classiques,19.30 €,21.46 €,B-CLM1656,https://boutique-parquet.com/clm1656-stratifie-quick-step-classic-chene-havanna-naturel-aspect-rabote.html
crh3181 - quick step - stratifié - creo - chêne tennessee gris,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3181,https://boutique-parquet.com/cr3181-quick-step-stratifie-creo-chene-tennessee-gris.html
crh3182 - quick step - stratifié - creo -chêne virginia nature,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3182,https://boutique-parquet.com/cr3182-quick-step-stratifie-creo-chene-virginia-nature.html
crh3178 - quick step - stratifié - creo - chêne charlotte blanc,CATEGORY_sols-stratifies_lames-parquets-classiques,16.69 €,17.95 €,B-CRH3178,https://boutique-parquet.com/cr3178-quick-step-stratifie-creo-chene-charlotte-blanc.html
cl1653 - quick step - stratifié - classic - chêne vieilli patiné blanc,CATEGORY_sols-stratifies_lames-parquets-classiques,19.31 €,21.46 €,B-CL1653,https://boutique-parquet.com/cl1653-quick-step-stratifie-classic-chene-vieilli-patine-blanc.html
parquet stratifié - tritty 100 - acacia vario,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544723,https://boutique-parquet.com/parquet-stratifie-tritty-100-acacia-vario.html
parquet stratifié - tritty 100 - orme vario,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544720,https://boutique-parquet.com/parquet-stratifie-tritty-100-orme-vario.html
parquet stratifié - tritty 100 - noyer américain vario,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544714,https://boutique-parquet.com/parquet-stratifie-tritty-100-noyer-americain-vario.html
parquet stratifié - tritty 100 - chêne flavia nature,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544708,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-flavia-nature.html
parquet stratifié - tritty 100 - chêne flavia fumé,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544705,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-flavia-fume.html
parquet stratifié - tritty 100 - chêne flavia puro,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544711,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-flavia-puro.html
parquet stratifié - tritty 100 - chêne flavia gris,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544702,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-flavia-gris.html
parquet stratifié - tritty 100 - erable argenté vario,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-544717,https://boutique-parquet.com/parquet-stratifie-tritty-100-erable-argente-vario.html
parquet stratifié - tritty 100 - chêne eleganza gris antique,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541471,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-eleganza-gris-antique.html
parquet stratifié - tritty 100 - chêne veneto mocca,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541477,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-veneto-mocca.html
parquet stratifié - tritty 100 - chêne eleganza fumé,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-542050,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-eleganza-fume.html
parquet stratifié - tritty 100 - chêne eleganza nature,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541473,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-eleganza-nature.html
parquet stratifié - tritty 100 - chêne alpin nature,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-542069,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-alpin-nature.html
parquet stratifié - tritty 100 - chêne veneto nature,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541478,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-veneto-nature.html
parquet stratifié - tritty 100 - chêne eleganza puro,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541474,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-eleganza-puro.html
parquet stratifié - tritty 100 - chêne eleganza blanc crème,CATEGORY_sols-stratifies_lames-parquets-classiques,23.95 €,27.95 €,B-541475,https://boutique-parquet.com/parquet-stratifie-tritty-100-chene-eleganza-blanc-creme.html
haro parquet - à l'anglaise série 4000 - chêne trend brossé huilé,CATEGORY_parquets_parquets-contrecolles-classiques,5.56 €,6.95 €,B-530135,https://boutique-parquet.com/haro-parquet-a-l-anglaise-serie-4000-chene-blanc-puro-favorit-12.html
haro parquet - à l'anglaise série 4000 - chêne trend brossé vernis mat  - naturadur,CATEGORY_parquets_parquets-contrecolles-classiques,65.90 €,76.96 €,B-535416,https://boutique-parquet.com/haro-parquet-a-l-anglaise-serie-4000-chene-blanc-puro-favorit-11.html
pal3889s - quick step - parquet contrecollé - palazzo - chêne minuit huilé,CATEGORY_parquets_parquets-contrecolles-classiques,76.40 €,84.90 €,B-PAL3889S,https://boutique-parquet.com/pal3889s-quick-step-parquet-contrecolle-palazzo-chene-minuit-huile.html
mas3566s - quick step - parquet contrecollé - massimo - chêne capuccino blond extra mat,CATEGORY_parquets_parquets-contrecolles-classiques,125.90 €,139.90 €,B-MAS3566S,https://boutique-parquet.com/mas3566s-quick-step-parquet-contrecolle-massimo-chene-capuccino-blond-extra-mat.html
mas3564s - quick step - parquet contrecollé - massimo - chêne chocolat fondant huilé extra mat,CATEGORY_parquets_parquets-contrecolles-classiques,125.90 €,139.90 €,B-MAS3564S,https://boutique-parquet.com/mas3564s-quick-step-parquet-contrecolle-massimo-chene-chocolat-fondant-huile-extra-mat.html
mas3563s - quick step - parquet contrecollé - massimo - chêne mistral huilé extra mat,CATEGORY_parquets_parquets-contrecolles-classiques,125.90 €,139.90 €,B-MAS3563S,https://boutique-parquet.com/mas3563s-quick-step-parquet-contrecolle-massimo-chene-mistral-huile-extra-mat.html
